primary_keyword,search_intent,volume,cluster,notes
"bröllopsplanering","transactional",4400,"planering","Huvudpillar"
"bröllopsbudget","transactional",2900,"budget","Budget guide"
"bröllopsfotograf stockholm","transactional",1900,"leverantorer","Fokusera på prisnivåer och avtal"
"bröllopsfotograf göteborg","transactional",1300,"leverantorer","Fokusera på urbana miljöer och industrilokaler"
"bröllopsfotograf malmö","transactional",900,"leverantorer","Inkludera Öresund och skånska slott"
"bröllopsfotograf uppsala","transactional",500,"leverantorer","Studentstad och kyrkor; jämför paket"
"bröllopsfotograf gotland","transactional",350,"leverantorer","Destination med reseersättning och ljusförhållanden"
"bröllopsflorist stockholm","transactional",800,"leverantorer","Säsongsblommor, hållbara alternativ"
"bröllopsflorist göteborg","transactional",550,"leverantorer","Fokus på buketter och industrilokaler"
"bröllopsflorist malmö","transactional",420,"leverantorer","Skånska odlare, klimatpåverkan"
"bröllopslokal stockholm","transactional",4400,"leverantorer","Segmentera efter budget, gästkapacitet"
"bröllopslokal göteborg","transactional",2400,"leverantorer","Varvslokaler, herrgårdar"
"bröllopslokal skärgården","transactional",1600,"leverantorer","Logistik, transporter, boende"
"bröllopskoordinator göteborg","transactional",400,"leverantorer","Pris och paket i västra Sverige"
"bröllopskoordinator malmö","transactional",320,"leverantorer","Kombinera med Köpenhamn-option"
"bröllopsdekor diy","informational",1900,"inspiration","Steg-för-steg med budget och hållbarhet"
"bröllopsmeny exempel","informational",2100,"planering","Svenska säsongsmenyer, allergier"
"bröllopstal brud","informational",2600,"traditioner","Mall + retoriktips + etikett"
"toastmaster guide","informational",1800,"traditioner","Ansvar, tidslinjer, checklistor"
"hindersprövning hur lång tid","informational",2900,"juridik","Process, dokument, tidsgränser"
"äktenskapsförord mall","transactional",3600,"juridik","Skillnader bröllop vs sambor"
"bröllopsbudget excel","transactional",2400,"budget","Ladda ner mall + instruktion"
"bröllop checklista pdf","informational",3200,"checklistor","Länka till befintliga assets"
"bröllopslokal malmö","transactional",1800,"leverantorer","Fokusera på stadens lokaler och slott"
"bröllopslokal uppsala","transactional",900,"leverantorer","Universitetsmiljöer och kyrkor"
"bröllopslokal gotland","transactional",700,"leverantorer","Destination och natur"
"bröllopsfotograf norrland","transactional",500,"leverantorer","Ljusförhållanden och resor"
"bröllopsfotograf västerås","transactional",320,"leverantorer","Mälardalen"
"bröllopsfotograf linköping","transactional",350,"leverantorer","Östergötland"
"bröllopsfotograf örnsköldsvik","transactional",180,"leverantorer","Destination fjäll/havet"
"bröllopsflorist uppsala","transactional",260,"leverantorer","Närhet till botaniska"
"bröllopsflorist österlen","transactional",210,"leverantorer","Sommarblommor och gårdar"
"bröllopsflorist gotland","transactional",190,"leverantorer","Torkade blommor och kalksten"
"bröllopstårta stockholm","transactional",1400,"leverantorer","Pris per gäst + bakelser"
"bröllopstårta göteborg","transactional",900,"leverantorer","Bagerier och allergier"
"bröllopstårta malmö","transactional",650,"leverantorer","Dansk influens"
"bröllop catering stockholm","transactional",2400,"leverantorer","Paket & serveringstillstånd"
"bröllop catering göteborg","transactional",1600,"leverantorer","Veganska alternativ"
"bröllop catering malmö","transactional",1200,"leverantorer","Skånska råvaror"
"bröllopskoordinator stockholm","transactional",600,"leverantorer","Lyx/helhetsplanering"
"bröllopskoordinator uppsala","transactional",180,"leverantorer","Studentvänligt"
"bröllopskoordinator österlen","transactional",150,"leverantorer","Destination sommar"
"bröllopsDJ stockholm","transactional",1100,"leverantorer","Musiklicenser och paket"
"bröllopsDJ göteborg","transactional",800,"leverantorer","Mix live/DJ"
"bröllopsDJ malmö","transactional",650,"leverantorer","Dans/Dansk marknad"
"bröllopsband stockholm","transactional",1400,"leverantorer","Pris per set"
"bröllopsband göteborg","transactional",900,"leverantorer","Coverband + logistik"
"bröllopsband malmö","transactional",750,"leverantorer","Samarbete med DJ"
"bröllopslokal fjällen","transactional",600,"leverantorer","Vinterbröllop"
"bröllopslokal dalarna","transactional",500,"leverantorer","Falu rödfärg, tradition"
"bröllopslokal småland","transactional",450,"leverantorer","Lador och herrgårdar"
"bröllopslokal kalmar","transactional",420,"leverantorer","Slott & kuster"
"bröllopslokal sundsvall","transactional",350,"leverantorer","Industrimiljöer"
"bröllopslokal östersund","transactional",280,"leverantorer","Fjällnära"
"bröllopslokal karlstad","transactional",260,"leverantorer","Värmland"
"bröllopslokal helsingborg","transactional",520,"leverantorer","Slotten runt sundet"
"bröllopslokal lund","transactional",480,"leverantorer","Student/akademisk"
"bröllopslokal norrköping","transactional",390,"leverantorer","Industrilandskapet"
"bröllopslokal falun","transactional",290,"leverantorer","Dalatradition"
"bröllopsmakeup stockholm","transactional",1200,"leverantorer","Brudstyling & provsmink"
"bröllopsmakeup göteborg","transactional",900,"leverantorer","On location"
"bröllopsmakeup malmö","transactional",780,"leverantorer","Skånska stylister"
"bröllopsfrisör stockholm","transactional",1100,"leverantorer","Brud + tärnor"
"bröllopsfrisör göteborg","transactional",800,"leverantorer","Uppsättningar"
"bröllopsfrisör malmö","transactional",720,"leverantorer","Samspel makeup"
"bröllopsfotobås stockholm","transactional",700,"leverantorer","Fotoautomat + rekvisita"
"bröllopsfotobås göteborg","transactional",520,"leverantorer","Leverans/upphämtning"
"bröllopsfotobås malmö","transactional",480,"leverantorer","Digitala gallerier"
"bröllop transport stockholm","transactional",900,"leverantorer","Limousin, buss, båt"
"bröllop transport göteborg","transactional",720,"leverantorer","Spårvagn, båt"
"bröllop transport malmö","transactional",620,"leverantorer","Buss, bro"
"bröllopsboende gäster","informational",1300,"planering","Hotellblock, Airbnb"
"bröllop helgprogram","informational",1600,"planering","Schema fredag-söndag"
"bröllop dagen efter brunch","informational",1400,"planering","Meny & etikett"
"bröllopsresa sverige","informational",2100,"inspiration","Staycations, glamping"
"smekmånad maldiverna från sverige","transactional",1900,"inspiration","Flyg + budget"
"bröllopsbudget 50 gäster","informational",1700,"budget","Konkreta siffror"
"bröllopsbudget 30 gäster","informational",1500,"budget","Mikrobröllop"
"bröllopsbudget 150 gäster","informational",1200,"budget","Stor fest"
"bröllop checklist 6 månader","informational",2100,"checklistor","Tidslinje"
"bröllop checklist 3 månader","informational",1900,"checklistor","Slutspurten"
"bröllop checklist vecka","informational",1700,"checklistor","Veckan innan"
"brudtärnor ansvar","informational",1300,"traditioner","Roller och etikett"
"marskalk ansvar","informational",1100,"traditioner","Checklista"
"bestman tal tips","informational",1500,"traditioner","Retorik"
"bröllopstal brudgum","informational",2000,"traditioner","Mall + struktur"
"bröllopstal förälder","informational",1700,"traditioner","Ton & humor"
"bröllop lekar","informational",3600,"traditioner","Lekbank"
"bröllopsquiz svenska","informational",2800,"traditioner","Quizmall"
"bröllop musiklista","informational",2200,"inspiration","Spotifylistor"
"bröllop ingångsmusik","informational",2500,"traditioner","Lista + tips"
"bröllop första dans låtar","informational",2600,"traditioner","Topplista"
"bröllop buffé meny","informational",1800,"planering","Budgetvänlig mat"
"bröllop sittande meny","informational",1600,"planering","Tre-rätters exempel"
"bröllop vegansk meny","informational",1400,"planering","Recept + leverantörer"
"bröllop allergier guide","informational",1300,"planering","Rutiner och etikett"
"bröllopsinbjudan text exempel","informational",3900,"planering","Mall + etikett"
"save the date text","informational",3200,"planering","Timeline"
"bröllopshemsida innehåll","informational",2600,"planering","Sektioner + formulär"
"bröllopsprogram exempel","informational",2800,"planering","Design + text"
"vigselprogram text","informational",2400,"traditioner","Ceremonistruktur"
"bröllopsdekoration budget","informational",2100,"inspiration","DIY vs hyr"
"bröllopsdekoration utomhus","informational",1800,"inspiration","Väderplan"
"bröllopsdekoration vinter","informational",1500,"inspiration","Tema & belysning"
"bröllop vinter tips","informational",2200,"planering","Klädsel, logistik"
"bröllop sommar tips","informational",3400,"planering","Värme, dryck"
"bröllop höst tema","informational",2000,"inspiration","Färgpaletter"
"bröllop vår inspiration","informational",1900,"inspiration","Blommor"
"budget bröllop utomhus","informational",1700,"budget","Tält, el"
"bröllop i trädgården","informational",2100,"planering","Tillstånd"
"borgerlig vigsel guide","informational",3100,"juridik","Process och val av vigselförrättare"
"borgerlig vigsel stockholm","transactional",2000,"juridik","Lokaler, kostnad"
"borgerlig vigsel göteborg","transactional",1600,"juridik","Var boka"
"borgerlig vigsel malmö","transactional",1500,"juridik","Stadshuset"
"gifta sig i kyrkan kostnad","informational",2600,"traditioner","Avgifter"
"bröllop äktenskapsbevis","informational",1200,"juridik","Dokument"
"namnbyte efter bröllop","informational",2800,"juridik","Skatteverket"
"bröllopsförsäkring sverige","informational",900,"planering","Vilka skydd behövs"
"bröllop regn plan","informational",2500,"planering","Plan B, tält"
"tält till bröllop hyra","transactional",1200,"leverantorer","Pris och logistik"
"bröllopsutklädning gäster","informational",800,"traditioner","Klädkod"
"bröllops presenter tips","informational",3600,"traditioner","Förslag"
"bröllop gästbok idéer","informational",2900,"inspiration","Alternativ"
"bröllop hashtag idéer","informational",2400,"inspiration","Social media"
"bröllop budget app","transactional",1000,"budget","Jämför verktyg"
"bröllopsplanerare kostnad","informational",2000,"leverantorer","Prisöversikt"
"toastmaster tal mall","informational",1800,"traditioner","Struktur"
"bröllop musiklista spotify","informational",1600,"inspiration","Delningslänkar"
"bröllop timeline mall","informational",2200,"checklistor","Nedladdningsbar mall"
"bröllopsbudget excel mall","transactional",2400,"budget","CTA mot kalkylatorn"
"bröllopsplanering app","transactional",1300,"planering","Lista över verktyg"
"bröllop planera 1 år","informational",2700,"planering","Årsplan"
"bröllop planera 6 månader","informational",2400,"planering","Komprimerad tidslinje"
"bröllop dekoration hyr","transactional",1400,"leverantorer","Förråd och styling"
"bröllop design tema rustikt","informational",1600,"inspiration","Färgpalett"
"bröllop tema modern","informational",1500,"inspiration","Minimalism"
"bröllop tema boho","informational",1800,"inspiration","DIY"
"bröllop tema klassiskt","informational",1700,"inspiration","Tradition"
"bröllop budget spreadsheet","transactional",900,"budget","Engelsk sökvariant - svenska svar"
"wedding planner sweden","transactional",1300,"leverantorer","Internationella som söker svenskt stöd"
"wedding venues sweden","transactional",2600,"leverantorer","Engelska leads"
"sweden elopement","informational",1400,"planering","Internationella par"
"elopement photographer sweden","transactional",1100,"leverantorer","Rör internationella"
"fjord wedding sweden","informational",600,"inspiration","Destination"
"bröllopsleverantörer","informational",2600,"leverantorer","Pillarhandbok: bokning, prisintervall, avtal"
